countyFIPS,year,proprietors,prop_percap,prop_growth,str,imtr,cmtr,KPost2012,qtryr,pop10,tt_CO,tt_KS,tt_MO,tt_NE,tt_OK
8085,2010,7829,0.190051949,0.553989678,2.9,4.63,4.63,0,2010.1,4.1194,7,0,0,0,0
8085,2011,7771,0.190013937,-0.007408354,2.9,4.63,4.63,0,2011.1,4.0897,8,0,0,0,0
8085,2012,7662,0.188357343,-0.014026509,2.9,4.63,4.63,0,2012.1,4.0678,9,0,0,0,0
8085,2013,7628,0.187724566,-0.004437484,2.9,4.63,4.63,0,2013.1,4.0634,10,0,0,0,0
8085,2014,7602,0.186565882,-0.003408495,2.9,4.63,4.63,0,2014.1,4.0747,11,0,0,0,0
8087,2010,3703,0.131442567,-0.512891344,2.9,4.63,4.63,0,2010.1,2.8172,7,0,0,0,0
8087,2011,3806,0.133487654,0.027815285,2.9,4.63,4.63,0,2011.1,2.8512,8,0,0,0,0
8087,2012,3987,0.140729237,0.04755649,2.9,4.63,4.63,0,2012.1,2.8331,9,0,0,0,0
8087,2013,3986,0.140818201,-0.000250815,2.9,4.63,4.63,0,2013.1,2.8306,10,0,0,0,0
8087,2014,4003,0.141910096,0.004264927,2.9,4.63,4.63,0,2014.1,2.8208,11,0,0,0,0
8089,2010,2468,0.130706493,-0.383462403,2.9,4.63,4.63,0,2010.1,1.8882,7,0,0,0,0
8089,2011,2490,0.131976467,0.0089141,2.9,4.63,4.63,0,2011.1,1.8867,8,0,0,0,0
8089,2012,2391,0.127936219,-0.039759036,2.9,4.63,4.63,0,2012.1,1.8689,9,0,0,0,0
8089,2013,2330,0.125775978,-0.025512338,2.9,4.63,4.63,0,2013.1,1.8525,10,0,0,0,0
8089,2014,2316,0.125821698,-0.006008584,2.9,4.63,4.63,0,2014.1,1.8407,11,0,0,0,0
8091,2010,1513,0.338781908,-0.34671848,2.9,4.63,4.63,0,2010.1,0.4466,7,0,0,0,0
8091,2011,1558,0.349797934,0.029742234,2.9,4.63,4.63,0,2011.1,0.4454,8,0,0,0,0
8091,2012,1583,0.348218214,0.016046213,2.9,4.63,4.63,0,2012.1,0.4546,9,0,0,0,0
8091,2013,1549,0.338283468,-0.021478206,2.9,4.63,4.63,0,2013.1,0.4579,10,0,0,0,0
8091,2014,1626,0.352329361,0.04970949,2.9,4.63,4.63,0,2014.1,0.4615,11,0,0,0,0
8093,2010,2891,0.17776548,0.77798278,2.9,4.63,4.63,0,2010.1,1.6263,7,0,0,0,0
8093,2011,2967,0.18441171,0.026288481,2.9,4.63,4.63,0,2011.1,1.6089,8,0,0,0,0
8093,2012,2825,0.176155141,-0.047859791,2.9,4.63,4.63,0,2012.1,1.6037,9,0,0,0,0
8093,2013,2844,0.176448691,0.006725664,2.9,4.63,4.63,0,2013.1,1.6118,10,0,0,0,0
8093,2014,2863,0.175687285,0.006680731,2.9,4.63,4.63,0,2014.1,1.6296,11,0,0,0,0
8095,2010,1029,0.230562402,-0.640586797,2.9,4.63,4.63,0,2010.1,0.4463,7,0,0,0,0
8095,2011,1030,0.235697941,0.000971817,2.9,4.63,4.63,0,2011.1,0.437,8,0,0,0,0
8095,2012,1060,0.241898676,0.029126214,2.9,4.63,4.63,0,2012.1,0.4382,9,0,0,0,0
8095,2013,1086,0.249254074,0.024528302,2.9,4.63,4.63,0,2013.1,0.4357,10,0,0,0,0
8095,2014,1076,0.2456621,-0.009208103,2.9,4.63,4.63,0,2014.1,0.438,11,0,0,0,0
8097,2010,6345,0.369798345,4.896840149,2.9,4.63,4.63,0,2010.1,1.7158,7,0,0,0,0
8097,2011,6494,0.379123125,0.023483058,2.9,4.63,4.63,0,2011.1,1.7129,8,0,0,0,0
