year,stateFIPS,countyFIPS,PPCSTOT,TOTALEXP,TCURSPND
2011,20,20055.0,17715,93181,81176
2011,20,20057.0,29486,75679,68573
2011,20,20059.0,40863,49411,45541
2011,20,20061.0,9303,80909,73960
2011,20,20063.0,46898,6632,6183
2011,20,20065.0,10286,5673,4135
2011,20,20067.0,8611,15792,15040
2011,20,20069.0,55577,15032,13477
2011,20,20071.0,13195,5375,2705
2011,20,20073.0,36455,12305,11097
2011,20,20075.0,10482,6811,5346
2011,20,20077.0,21473,18731,11441
2011,20,20079.0,45458,65551,54428
2011,20,20081.0,22657,13031,10252
2011,20,20083.0,14038,4919,4029
2011,20,20085.0,29357,26082,23599
2011,20,20087.0,60985,41777,39018
2011,20,20089.0,13043,4383,3978
2011,20,20091.0,51711,1007257,842925
2011,20,20093.0,22123,11694,10567
2011,20,20095.0,23036,13801,13019
2011,20,20097.0,38709,12325,7254
2011,20,20099.0,40748,42433,38850
2011,20,20101.0,28234,4585,4184
2011,20,20103.0,50804,133807,110878
2011,20,20105.0,21434,7129,6777
2011,20,20107.0,31351,21888,20008
2011,20,20109.0,24424,6377,5717
2011,20,20111.0,31893,60918,55762
2011,20,20113.0,49421,48439,43129
2011,20,20115.0,56339,26498,22842
2011,20,20117.0,31693,19986,18590
2011,20,20119.0,22549,9314,7166
2011,20,20121.0,26285,47994,43907
2011,20,20123.0,22839,14005,13189
2011,20,20125.0,34368,93961,50456
2011,20,20127.0,10314,15379,7995
2011,20,20129.0,20987,11357,10326
2011,20,20131.0,23973,26745,19665
2011,20,20133.0,20455,50835,23748
2011,20,20135.0,22367,5718,5273
2011,20,20137.0,22234,11374,10225
2011,20,20139.0,48710,29556,28031
2011,20,20141.0,11691,4169,4010
2011,20,20143.0,20478,14120,13095
2011,20,20145.0,19493,12273,11637
2011,20,20147.0,22923,9562,9129
2011,20,20149.0,38672,51326,37450
2011,20,20151.0,21442,16912,15331
2011,20,20153.0,11199,3847,3539
2011,20,20155.0,60459,114061,94662
2011,20,20157.0,21170,8633,8172
2011,20,20159.0,44547,31218,20125
2011,20,20161.0,30523,118144,67564
2011,20,20163.0,34896,11499,9908
2011,20,20165.0,23792,6063,5694
2011,20,20167.0,24192,11847,11283
2011,20,20169.0,28856,95378,83767
2011,20,20171.0,10017,10705,9316
2011,20,20173.0,84036,1084357,778041
2011,20,20175.0,19877,56160,51254
2011,20,20177.0,44854,297484,266601
2011,20,20179.0,10115,3779,3682
2011,20,20181.0,10418,9977,9394
2011,20,20183.0,24133,9449,8362
2011,20,20185.0,36047,11416,10817
2011,20,20187.0,10744,6284,5458
2011,20,20189.0,22669,37583,13515
2011,20,20191.0,76361,45330,40894
2011,20,20193.0,34542,13625,12641
2011,20,20195.0,10810,4811,4391
2011,20,20197.0,22459,12658,11176
2011,20,20199.0,23360,3883,3648
2011,20,20201.0,34413,14278,12475
2011,20,20203.0,10677,9054,4890
2011,20,20205.0,31863,17869,17029
2011,20,20207.0,11131,5309,5187
2011,20,20209.0,35833,331503,283988
2011,29,29001.0,27558,30838,26058
2011,29,29003.0,24970,23932,23423
2011,29,29005.0,34039,13525,9934
2011,29,29007.0,27399,36211,28801
2011,29,29009.0,65001,63133,55002
2011,29,29011.0,25818,19108,18210
2011,29,29013.0,65450,25654,24343
2011,29,29015.0,23169,23674,20624
2011,29,29017.0,31427,15469,14537
2011,29,29019.0,48881,242397,206263
2011,29,29021.0,36165,128839,120276
2011,29,29023.0,23864,61402,52792
2011,29,29025.0,94920,17550,16312
2011,29,29027.0,34528,50748,42876
2011,29,29029.0,40659,56693,49913
2011,29,29031.0,42964,94044,79577
2011,29,29033.0,49737,16004,14898
2011,29,29035.0,16811,12139,11088
2011,29,29037.0,86884,168503,153830
2011,29,29039.0,16042,19618,18735
2011,29,29041.0,42101,12042,11012
2011,29,29043.0,51541,122182,105842
2011,29,29045.0,19588,12181,8558
2011,29,29047.0,71698,418043,361813
2011,29,29049.0,28049,34994,31311
2011,29,29051.0,30901,105814,95142
2011,29,29053.0,60627,24490,23002
2011,29,29055.0,24254,30446,27065
2011,29,29057.0,36561,10125,9771
2011,29,29059.0,8409,17483,15412
2011,29,29061.0,59782,13075,12563
2011,29,29063.0,43360,11933,10804
2011,29,29065.0,44036,21057,18283
2011,29,29067.0,27071,15548,15032
2011,29,29069.0,56056,49601,47889
2011,29,29071.0,86435,158430,139091
2011,29,29073.0,15939,28758,23922
2011,29,29075.0,30222,12581,11894
2011,29,29077.0,60432,354387,312696
2011,29,29079.0,61440,19499,14549
2011,29,29081.0,52754,14460,14083
2011,29,29083.0,73741,28759,25286
2011,29,29085.0,36041,18485,15863
2011,29,29087.0,39059,7697,7329
2011,29,29089.0,23391,12137,11630
2011,29,29091.0,62805,65575,55640
2011,29,29093.0,40786,25317,18705
2011,29,29095.0,118384,1177013,1016973
2011,29,29097.0,53437,172797,154489
2011,29,29099.0,93169,354255,310612
2011,29,29101.0,60315,85600,65921
2011,29,29103.0,9388,5198,5059
2011,29,29105.0,34008,48302,44947
2011,29,29107.0,52599,56123,47999
2011,29,29109.0,46733,50505,47343
2011,29,29111.0,16299,13143,12696
2011,29,29113.0,29448,73998,64436
2011,29,29115.0,46475,24009,21548
2011,29,29117.0,29904,22163,20798
2011,29,29119.0,8290,33436,31496
2011,29,29121.0,58179,21899,20500
2011,29,29123.0,17913,17338,16966
2011,29,29125.0,15051,11004,10426
2011,29,29127.0,23842,47453,41742
2011,29,29129.0,20293,6271,5874
2011,29,29131.0,42064,46971,42734
2011,29,29133.0,14602,16906,16622
2011,29,29135.0,53518,21042,19350
2011,29,29137.0,55039,14254,13444
2011,29,29139.0,16769,15196,14824
2011,29,29141.0,18383,19837,18855
2011,29,29143.0,39844,29595,27846
2011,29,29145.0,38638,74916,65367
2011,29,29147.0,75420,31188,29456
2011,29,29149.0,31863,16181,15390
2011,29,29151.0,26660,14261,13941
2011,29,29153.0,47995,17456,15502
2011,29,29155.0,284778,50573,41763
2011,29,29157.0,14623,22952,20917
2011,29,29159.0,57706,53749,50946
2011,29,29161.0,33509,65264,54143
2011,29,29163.0,42683,26132,22350
2011,29,29165.0,43246,182081,158012
2011,29,29167.0,50502,48448,46156
2011,29,29169.0,49182,79612,75133
2011,29,29171.0,8346,6689,6431
2011,29,29173.0,7342,7235,5473
2011,29,29175.0,47215,38906,35293
2011,29,29177.0,34973,30372,28858
2011,29,29179.0,48652,14326,12623
2011,29,29181.0,34831,20492,18595
2011,29,29183.0,49246,639634,549533
2011,29,29185.0,37670,12859,12307
2011,29,29186.0,10189,25861,20005
2011,29,29187.0,41697,97681,87436
2011,29,29189.0,322539,2197031,1864094
2011,29,29195.0,88663,36664,32124
2011,29,29197.0,7838,5677,5338
2011,29,29199.0,35014,6191,6066
2011,29,29201.0,56726,56555,53389
2011,29,29203.0,18510,8293,7823
2011,29,29205.0,19192,10929,10033
2011,29,29207.0,60265,46686,41042
2011,29,29209.0,41496,42529,36784
2011,29,29211.0,30290,11732,11053
