,idcode,itemcode,amount,year,flag,stateFIPS,countyFIPS
335899,28108508500000,E36,15889,2014,R,31.0,31169.0
335991,28108808800000,E36,18846,2014,I,31.0,31175.0
340292,28402460100000,E36,20779,2014,R,31.0,31047.0
340305,28402460400000,E36,11438,2014,R,31.0,31047.0
340319,28402460500000,E36,7963,2014,I,31.0,31047.0
340730,28405630100000,E36,126282,2014,I,31.0,31111.0
340798,28406690100000,E36,11580,2014,R,31.0,31131.0
340813,28406830100000,E36,15754,2014,I,31.0,31135.0
340980,28408190100000,E36,10660,2014,R,31.0,31161.0
341019,28408780100000,E36,1340,2014,R,31.0,31173.0
335578,28000000000000,E36,259029,2013,R,31.0,
335755,28100600600000,E36,21496,2013,R,31.0,31011.0
335800,28100700700000,E36,27664,2013,R,31.0,31013.0
335941,28101601600000,E36,12805,2013,R,31.0,31031.0
336094,28102702700000,E36,94215,2013,R,31.0,31053.0
336145,28102802800000,E36,39559,2013,R,31.0,31055.0
336190,28103103100000,E36,4978,2013,R,31.0,31061.0
336283,28103503500000,E36,7676,2013,R,31.0,31069.0
336405,28104204200000,E36,7019,2013,R,31.0,31083.0
336505,28104904900000,E36,10888,2013,R,31.0,31097.0
336541,28105005000000,E36,8931,2013,R,31.0,31099.0
336591,28105305300000,E36,7866,2013,R,31.0,31105.0
336805,28106406400000,E36,10821,2013,R,31.0,31127.0
336938,28107207200000,E36,5670,2013,R,31.0,31143.0
337072,28107807800000,E36,16861,2013,R,31.0,31155.0
337202,28108508500000,E36,14595,2013,R,31.0,31169.0
337254,28108808800000,E36,18198,2013,R,31.0,31175.0
337297,28109109100000,E36,4300,2013,R,31.0,31181.0
340161,28206300300000,E36,5296,2013,R,31.0,31125.0
340540,28207000600000,E36,2759,2013,R,31.0,31139.0
340870,28207600400000,E36,4489,2013,R,31.0,31151.0
341900,28402460100000,E36,19076,2013,R,31.0,31047.0
341915,28402460400000,E36,11127,2013,R,31.0,31047.0
342463,28406690100000,E36,11889,2013,R,31.0,31131.0
342479,28406830100000,E36,15387,2013,R,31.0,31135.0
342728,28408190100000,E36,10181,2013,R,31.0,31161.0
342757,28408780100000,E36,12485,2013,R,31.0,31173.0
866104,28000000000000,E36,254286,2012,R,31.0,
866393,28100600600000,E36,19143,2012,R,31.0,31011.0
866439,28100700700000,E36,26685,2012,R,31.0,31013.0
866514,28100900900000,E36,5877,2012,R,31.0,31017.0
866623,28101201200000,E36,13115,2012,R,31.0,31023.0
866733,28101501500000,E36,14037,2012,R,31.0,31029.0
866778,28101601600000,E36,12097,2012,R,31.0,31031.0
867167,28102702700000,E36,86884,2012,R,31.0,31053.0
867220,28102802800000,E36,40394,2012,R,31.0,31055.0
867265,28102902900000,E36,6612,2012,R,31.0,31057.0
867302,28103003000000,E36,10597,2012,R,31.0,31059.0
867344,28103103100000,E36,4731,2012,R,31.0,31061.0
867466,28103503500000,E36,6423,2012,R,31.0,31069.0
867666,28104104100000,E36,3656,2012,R,31.0,31081.0
867706,28104204200000,E36,6751,2012,R,31.0,31083.0
867879,28104704700000,E36,12320,2012,R,31.0,31093.0
867946,28104904900000,E36,9640,2012,R,31.0,31097.0
867984,28105005000000,E36,7835,2012,R,31.0,31099.0
868077,28105305300000,E36,6380,2012,R,31.0,31105.0
868347,28106106100000,E36,10478,2012,R,31.0,31121.0
868387,28106206200000,E36,7268,2012,R,31.0,31123.0
868454,28106406400000,E36,8508,2012,R,31.0,31127.0
868577,28106706700000,E36,5769,2012,R,31.0,31133.0
868752,28107207200000,E36,5391,2012,R,31.0,31143.0
868874,28107507500000,E36,5125,2012,R,31.0,31149.0
868994,28107807800000,E36,15224,2012,R,31.0,31155.0
869229,28108508500000,E36,14927,2012,R,31.0,31169.0
869336,28108808800000,E36,18565,2012,R,31.0,31175.0
869446,28109109100000,E36,4225,2012,R,31.0,31181.0
870261,28200600500000,E36,61,2012,R,31.0,31011.0
880567,28206000600000,E36,3545,2012,R,31.0,31119.0
880987,28206300300000,E36,5683,2012,R,31.0,31125.0
882407,28207000600000,E36,5319,2012,R,31.0,31139.0
883562,28207600400000,E36,4721,2012,R,31.0,31151.0
885215,28208100400000,E36,18,2012,R,31.0,31161.0
889149,28400210200000,E36,722,2012,I,31.0,31003.0
890754,28402180200000,E36,5307,2012,R,31.0,31041.0
891004,28402460100000,E36,17930,2012,R,31.0,31047.0
891027,28402460400000,E36,10233,2012,R,31.0,31047.0
891042,28402460500000,E36,7306,2012,R,31.0,31047.0
892959,28402860100000,E36,92,2012,I,31.0,31055.0
893630,28403410200000,E36,621,2012,I,31.0,31067.0
895282,28405630100000,E36,115868,2012,R,31.0,31111.0
895377,28405690200000,E36,26,2012,R,31.0,31111.0
895988,28406690100000,E36,10195,2012,R,31.0,31131.0
896089,28406830100000,E36,11526,2012,R,31.0,31135.0
896684,28407630100000,E36,5155,2012,I,31.0,31151.0
897753,28407790100000,E36,3381,2012,I,31.0,31153.0
898484,28408190100000,E36,8914,2012,R,31.0,31161.0
898829,28408780100000,E36,13376,2012,R,31.0,31173.0
899022,28408910400000,E36,39,2012,I,31.0,31177.0
899272,28409310200000,E36,1086,2012,I,31.0,31185.0
